tweet_id,text,in_response_to_tweet_id,your_intent_label,should_escalate (yes/no),escalation_reason,notes
2736723,"@Delta gate agent at LGA flight 5598 to CHS, male name started with L was incredibly rude - I am traveling with two small children and fly delta exclusively.  Expect better from delta!!",,service_complaint,no,,"  Rude gate agent, traveling with children - REVIEW borderline escalate"
1814411,"@Delta hello, I have been attempting to speak to someone in your Medallion program and itâ€™s not going so well. Any assistance please :)",,loyalty_miles_status,no,, 
452185,@Delta do you give discount for groups of 10 or more?  Thanks!,,general_policy_info,no,, 
2756008,Thank you to the @Delta domestic reservations phone rep who kindly helped our family yesterday with a Thanksgiving-related travel issue. ðŸ™‚,,praise_or_noise,no,, 
289147,@824 flight 1180 out of LAX...terrible lack of communication at gate at lounge...What is going on?,,service_complaint,no,,  Lack of communication at gate/lounge
2244057,A huge thank you to Alethia from @delta in Atlanta for helping me get to LA on time after my Montreal flight was delayed missing the connect https://t.co/6J4xo5GOOX,,praise_or_noise,no,, 
442335,"And @Delta strikes gold! Have to gate check my bag, thus guaranteeing zero chance of making my connection. Super excited! Yah!",,rebooking_connection,no,,  Sarcastic venting about gate-checked bag guaranteeing missed connection
2653651,"@Delta Thank you! Iâ€™m allowed to bring snacks in a carryon bag, right?",2653652,general_policy_info,no,, 
738310,@Delta need help with a seat assignment snafu on the return leg of my trip. Help!,,checkin_seat_upgrade,no,, 
2444424,@delta super committed to you and prove it with $ and miles but check in on dL 0675 tonight makes me wonder why...,,loyalty_miles_status,no,,"  Vague complaint, unclear exact ask"
278105,@Delta very unhappy you have changed seat allocation after special request and receipt of confirmation without any explanation,,checkin_seat_upgrade,no,, 
2069797,@DELTA love the new app except it no longer shows me which gate I am arriving to plan my connection......,,service_complaint,no,,  App feature complaint (missing gate info for connections)
1924884,"@Delta But those below me on list and a few standbys were given upgrade. Makes no sense. Gate agent says ""glitch"" there were a lot of ""glitches""",1332931,checkin_seat_upgrade,no,,"  Upgrade fairness complaint, gate agent blamed 'glitch'"
796635,"@Delta DL1496 still on tarmac, will likely miss connection to DL4820. Any other options to get home?",,rebooking_connection,yes,"Active tarmac delay risking missed connection, needs real-time rebooking options", 
2386695,"@Delta Have done, just awaiting a response. Many thanks.",2386694,praise_or_noise,no,,  Non-actionable follow-up
761312,@Delta @301902 Did you get a seat?,761311,general_policy_info,no,,  Context-free fragment
334194,@Delta @824 YOU FORCED ME TO CHECK MY LUGGAGE AT THE GATE AND THEN COMPLETELY RUINED IT!!!!!! https://t.co/7AYvsHVERB,,baggage_lost_item,no,,"  Forced gate-check, bag damaged - angry tone, REVIEW borderline escalate"
1507186,@Delta Thanks but thatâ€™s doesnâ€™t improve my 9hr flight experience though.,1507187,service_complaint,no,, 
1646887,Thank you @Delta for your continued support! We welcomed home the Harris family &amp; celebrated out 800th home in LA! https://t.co/lyNaNI5A36,,praise_or_noise,no,, 
1591181,"@Delta is awesome thanks for the Porsche ride between terminals at LAX, you are amazing https://t.co/AkHskoHTRz",,praise_or_noise,no,, 
1537844,Saw something tonight that indicates it's there now. @Delta auto-checkin for #Android #Travel https://t.co/BbFCM8dPDV,,general_policy_info,no,,"  Feature note, not really a request"
764245,@Delta 6 weeks. more than 10 calls where I waited for over 40 minutes for results. and no news about my bag!,,baggage_lost_item,yes,"6 weeks unresolved, 10+ calls with long hold times, repeated unresolved contact", 
982157,. @Delta may be the worst airline out there. Have yet to have a good experience with them,,service_complaint,no,, 
200591,@Delta Will do. Thank you.,200594,praise_or_noise,no,,  Non-actionable follow-up
1185899,"A dagger in my heart @Delta, just as youâ€™ve loaded my bag on the wrong flight after hours of delays https://t.co/QVV6qeKcUl",,baggage_lost_item,no,,  Compounded with delay - multi-intent
478232,@Delta good morning can you please provide us with a status on when the standby list will be fixed via the app.,,checkin_seat_upgrade,no,,  Standby list status question
1793532,"@Delta 1/2 Sorry for the late response, but that policy is really stupid. I'd save money, time, and fuel, if I skipped the first half..............",1793530,service_complaint,no,,"  Policy complaint, seems to be continuation of a thread"
57075,@Delta TY to crew on 4627. Had a bag that wouldnâ€™t fit overhead or under the seat but had a c-pap so flight attndant stored it #favairline,,praise_or_noise,no,, 
2898355,@Delta I paid to get an exit row but the plane was changed and I was moved to a normal seat.  I get it but the attitude of gate agent was horrible and she said I don't get a refund?!?,,refund_compensation,no,,  Multi-intent: seat downgrade + rude staff + refund denial
1858265,Srsly @Delta? Ordered a voucher gift card   a month ago that never came &amp; now being told you need 3 weeks to send a new one.,,refund_compensation,yes,"Month-long unresolved voucher issue, now told to wait further", 
1644744,Been stuck on @Delta plane (DL167) at gate for almost 5 hours. Canâ€™t tell us we can deplane and threaten to leave without us if we do!,,flight_delay_status,yes,"Stranded on aircraft at gate ~5 hours, threatened to leave without deplaned passengers - welfare concern", 
1939929,@Delta Can you provide some mileage credit? This has been a huge inconvenience.,1939928,refund_compensation,no,, 
2385888,Finally off to the US. Just hoping I don't miss my connection in Detroit now...@Delta,,rebooking_connection,no,,"  Anticipatory worry, not yet a crisis"
2467779,@delta customer service is terrible!,,service_complaint,no,, 
268247,"@Delta He was not helpful. In fact, he was quite rude.",268246,service_complaint,no,, 
1937884,@Delta Received the travel warning for Northeast. Trying to rebook flight. Errors on app and website and 2 hr hold 4 cust svc. Any help??,,rebooking_connection,yes,"Weather-related mass disruption, app/website errors blocking rebooking, 2hr hold", 
319210,@Delta AMS staff would not let me send luggage through all my flights today. Likely miss connection in ATL to BHM.... help!,,rebooking_connection,yes,Baggage routing issue actively threatening missed connection, 
1498484,"I never thought I would see the day that I, loyal Skymiles member # 9270860795, would be betrayed by @Delta #heartbreaking",,service_complaint,no,,"  Emotional but vague, no specific actionable crisis"
1023893,missed my flight last night but bless @Delta for not only waving my fees for the new flight but for sticking me in first class,,praise_or_noise,no,, 
1067020,Reasons to love @Delta: I was assigned the last seat and the gate agent noticed I was 8 mos pregnant and she moved me up and to an aisle. â¤ï¸,,praise_or_noise,no,, 
2962089,Frequent Flyer âœˆï¸ Thanks For The Great Flight @delta #diamondmedallion @ LAX - Los Angelesâ€¦ https://t.co/5Yyn65aX5E,,praise_or_noise,no,, 
2681800,@Delta it s not only online but on the phone too ! please fix that .,2681799,general_policy_info,no,,"  Fragment/continuation, likely a bug report (online AND phone)"
1939406,@Delta You could make it up to me with a voucher. :/ I fly Delta all the time.,1939407,refund_compensation,no,, 
1732721,@Delta Just tried the gold medallion desk- the rep said they canâ€™t help me and that I can only talk to the airport ticketing agent?,1732720,loyalty_miles_status,no,,  Bounced between departments
994582,"@Delta not a happy customer right now. Originating flight out of SDF was late, get to ATL gate with 10 mins to spare and our seats are gone.",,checkin_seat_upgrade,no,,  Multi-cause: delay + seat loss
2050012,@Delta Thank you @Delta &amp; *HJH.,2050011,praise_or_noise,no,, 
893534,Big thanks to @Delta for surprising my wife with a gift bag @136176 for completing her doctorate! Another reason to #keepclimbing https://t.co/KeFFsB16uH,,praise_or_noise,no,, 
2928717,@Delta My belongings won't make it through the airport. Are you dumb? The luggage is BROKEN,2928715,baggage_lost_item,no,,  Angry tone ('are you dumb') but standard damage claim
1462670,"Update: very glad I made the connection bc this is definitely the nicest A320 Iâ€™ve ever flown on. Love you always, @delta",1462671,praise_or_noise,no,, 
2862818,@Delta No it's 630 now. I am renting a car. Very bad. I want a refund,2862817,refund_compensation,yes,Explicit financial demand + had to pay for car rental due to disruption, 
157114,"@Delta My original flight is international destination. So if I request a refund, I can use the credits for domestic destination? Thanks",157115,refund_compensation,no,,  Policy question about refund/credit conversion
1645689,Awful @Delta - just awful. As a loyal member and medallion customer - Iï¸ expected much much better. #NoLoveHere,,service_complaint,no,, 
1546094,Wake-up at 4am. Ready to have a Wonderfull Flight with @Delta with My @63435 iconic 101801 #businessclass #USA ðŸ¥ðŸ¥ðŸ‘Œ https://t.co/ZEEIigSWaf,,praise_or_noise,no,, 
2258192,Delay...ðŸ™„ðŸŒ´ðŸ–ðŸŽ¢ Detroit &lt; Orlando @Delta,,flight_delay_status,no,,"  Minimal context, emoji-heavy"
1409915,@Delta plane Iâ€™m on is experiencing mechanical issues. Back to the gate we go:/,,flight_delay_status,no,,"  Informational, no immediate ask"
2039156,"@Delta Do you all have workers checking people in at LAX? Flight is at 5:30, been here since 3:30 and no one is here to check-in sky priority people",,checkin_seat_upgrade,yes,No check-in staff present close to departure for sky priority passengers - active risk, 
2901272,.@Delta Thank you for your amazing customer service! You've made this homesick girl even more excited to make it back home for the Holidays! ðŸ’•âœˆï¸,,praise_or_noise,no,, 
757212,@Delta flight 4608 with 13 open seats in delta comfort and no upgrade offered?  Even asked and was denied. why? Was on 1st class list.,,checkin_seat_upgrade,no,, 
634194,"@Delta Is DL4676 delayed or not? I thought I had a little bit of extra time this morning, then I got a call an hour ago saying the flight is on time...",,flight_delay_status,no,,"  Confusion about status, not crisis"
1176033,"@delta my connecting flight was cancelled for non-weather reasons, and I canâ€™t get a hold of anyone to process a refund.",,refund_compensation,yes,"Cancelled flight, refund blocked by inability to reach support", 
2496956,Donâ€™t fly @Delta theyâ€™ll leave you stranded. Travel @135156 or take the train!,,service_complaint,no,,"  General complaint referencing past stranding experience, vague on specifics"
2967174,Dang it @Delta you didn't need to break my luggage. https://t.co/lgQfWUhzLw,,baggage_lost_item,no,, 
508962,@Delta about to lose a sky mike member,,service_complaint,no,,"  Churn threat, vague"
233906,Impressed with @delta. I had a voucher in my maiden name (travel is not easy w/ name change) &amp; they gave me choice of gift card instead.,,praise_or_noise,no,, 
1640455,"@Delta I understand. But I bought the ticket from your team, not ATC. What is the recourse for a refund/voucher?",1640458,refund_compensation,no,, 
302330,"@Delta Of course I did, they said it's to late when I was 20 mins early. They called the manager who also said the same thing.",302328,service_complaint,no,,"  Repeated denial + manager involved, REVIEW borderline"
939371,@Delta so much for that comfort ticket..get assigned seat in the last row by the bathrooms window seat w no room 2 breathe #refund anyone?,,refund_compensation,no,,  Explicit #refund ask
2965925,@Delta connection at JFK looking iffy as luggage still isnâ€™t all unloaded. DL 4063,,rebooking_connection,yes,Active real-time risk of missing connection due to baggage delay, 
1225371,@Delta $150 for 3rd checked bag? But offer to check bag to final dest at gate. Donâ€™t understand. Had to leave a bottle of @51650 behindðŸ˜ž,,general_policy_info,no,,  Fee confusion
1688743,@Delta whatâ€™s the easiest way to change your name on your #Skymiles account after getting married?,,loyalty_miles_status,no,, 
2324723,@Delta No wheelchair service in Paris.  I have a back injury and no wheelchair service.,,service_complaint,yes,SAFETY-NET: disability accommodation failure + injury mentioned, 
931877,"People usually complain so I just want to say, I love flying @Delta. @824 always helpfu, always a pleasure to fly.",,praise_or_noise,no,, 
1510075,"@Delta Hey, thanks!",1510074,praise_or_noise,no,, 
2669447,@delta have a flight booked through Delta but the first leg is operated through Korean Airlines. Trying to select my seat but the Delta app wonâ€™t let me,,checkin_seat_upgrade,no,, 
1445786,"@Delta To reiterate: I left an amenity kit at DTW North Sky Club on Thursday morning, and it was handed over to DTW baggage on Thursday morning.",1445781,baggage_lost_item,no,,  Lost item follow-up
594138,"@Delta Bought tickets together, checking in, husbandâ€™s seat upgraded to Delta Comfort &amp; mine changed. Tried calling, 2 hour wait. How can we fix this to sit together?",,checkin_seat_upgrade,no,,"  2hr wait to fix seating, REVIEW borderline"
1075578,Patiently waiting to receive my update on my application status for @Delta  so excited and hoping for the best ðŸ˜€ðŸ˜€ðŸ˜€,,praise_or_noise,no,,"  LIKELY DATASET NOISE - REVIEW: reads like a job-application status inquiry, not a support request at all"
1022954,"I need my in-flight coffee @Delta, but I can't do black. Please add nondairy #vegan creamers. â˜•ï¸",,general_policy_info,no,,  Product feedback/request
398885,@Delta Terrible experiences every trip this year.  I can put up with delays but I refuse to be a 2nd class customer,398884,service_complaint,no,, 
2986622,@Delta Thanks! So Iâ€™ll earn at the platinum rate or the diamond rate?,2986621,loyalty_miles_status,no,, 
2082792,Brooks and family home safe.. Thanks Delta! SFO to ATL Yeah Câ€™mon! @11976 @Delta @171306 https://t.co/waBxUegfM6,,praise_or_noise,no,, 
430809,@Delta delayed 2+ hours last night on the way back to LGA from DFW.  This is the 3 third time in under 4 months! Didn't land til 2 am!,,flight_delay_status,no,,  Repeated pattern (3rd time in 4mo) - REVIEW borderline
1460051,@Delta Ok. Thanks. I didn't check Luke's. Mine has not been.,1460048,praise_or_noise,no,,"  Fragment/continuation, thread context needed"
2859356,@Delta @SouthwestAir **Update** @southwestair now this really doesn't make any sense 2hrs &amp; 30min. I'm gonna wait it out jus to see now https://t.co/1A7N3Uqpwr,2859355,flight_delay_status,no,,"  Primarily directed at Southwest, Delta secondary tag - possible off-topic"
79594,@Delta generously credited FF miles after my cross country flight without wifi and inseat entertainment.  #confused as to why I got the same credit after paying for 4 ticketed travelers that a single traveler got.  #notfaircredit,,loyalty_miles_status,no,, 
819565,"@Delta Aurgh! Paid for LV flights months ago, boarding now W/out a seat. WTH. Really?! Take my cash, by not commuting me a seat. Wow..",,checkin_seat_upgrade,no,, 
413183,@Delta on flight 0501 out of BNA and then connecting to MSP from ATL on 1130. Do you think we will make the connection?,,rebooking_connection,no,,  Routine connection timing question
903849,"@Delta At airport now, but seriously disappointed with first delay experience. Tough position to relocate 200+people I know.",903851,flight_delay_status,yes,Large-scale disruption (200+ passengers) needing coordinated response, 
311089,@Delta almost certainly gonna miss my connection in seattle. I love when you guys ruin holiday weekends.,,rebooking_connection,yes,Near-certain missed connection during holiday travel, 
2031393,@DELTA our entire plane is at the gate (MLI) waiting for grounds crew! It's been 30 mins. Uh...someone needs training at MLI unacceptable!,,flight_delay_status,no,,"  30 min wait, not yet severe"
1185905,Hey @Delta can u explain how flt#5973 has been delayed over 5 hrs &amp; then somehow the flight plan gets â€œlostâ€?? #NOTCOOL,,flight_delay_status,yes,5+ hour delay compounded by lost flight plan - operational failure, 
1294193,"@Delta Flying from T4 JFK this evening. If I check a bag and go thru security at T2 due to the issue at T4, will the bag make my flight?",,baggage_lost_item,no,, 
1538173,@Delta Thanks - the issue is that I still havenâ€™t received either of my checked bags after nearly 5 hours and no one can tell me when I will.,1538172,baggage_lost_item,yes,5 hours unresolved with no information provided on missing bags, 
2703399,@Delta I was denied entry by TSA at JFK with my electronic boarding pass from the Fly Delta app. Thanks for all the aggravations and delays at one of the worldâ€™s worst airports!!,,checkin_seat_upgrade,yes,App-issued boarding pass rejected by TSA - operational failure with real consequences, 
774279,@delta sucks!!! Over book flights then has AC freezing on the plane and no blankets. Stuart's are rude. Worst flight ever!!! Never again,,service_complaint,no,, 
149642,@Delta kudos a to Case Keating TLH for best customer service ever! #delta,,praise_or_noise,no,, 
1592165,"When your friends think poorly of your long term relationship with your airline. @Delta donâ€™t worry, you put a diamond on me, Iâ€™m yours. ;) https://t.co/dza9zT7Bnz",,praise_or_noise,no,, 
859091,#delta @delta wants privacy and says if I want a refund I have ask for it. Fill out forms,,refund_compensation,no,, 
718134,"@Delta I had a recent flight where i received terrible service and on top of that, I am just now getting my bag from the trip (8 days after) H72ZPD",718136,baggage_lost_item,yes,"Bag delayed 8 days, prolonged unresolved on top of poor service", 
2809114,@Delta Relatively simple question:  where is the priority bag you lost and when can I expect it?,2809112,baggage_lost_item,no,, 
1011949,@Delta Your competitor @AmericanAir made my family lose flight and now on standby. Next time we fly we choose you. Look at your check in! Amazing https://t.co/imlahtZtIL,1011948,praise_or_noise,no,,"  Comparative praise, mentions AmericanAir issue"
1344817,"@Delta How do I rebook a Skymiles redemption flight? Iâ€™m supposed to travel through JFK from NCE, and it says I canâ€™t change it online. Thank you.",1344800,rebooking_connection,no,,  Tied to miles redemption booking
207195,@Delta @Delta @824 I'll figure that out as soon as I can check hotels I can spend miles at. When will the Skymiles Marketplace be up again?,207018,loyalty_miles_status,no,, 
2433244,Loved everything about flying with @Delta until Iï¸ got to baggage claim and noticed my hard shell suitcase is now dented in and cracked to the point to where it almost collapses in on itself when Iï¸ roll it ðŸ˜¡ðŸ˜¡ðŸ˜¡,,baggage_lost_item,no,, 
1009250,@Delta just spent $802 to fly cross-country &amp; my app is telling me â€œactivity not eligible for  [SkyMiles] mileage creditâ€. How can that be?,,loyalty_miles_status,no,, 
2584667,@Delta Thanks! I appreciate the feedback! ðŸ˜,2584666,praise_or_noise,no,, 
1249531,@Delta thanks for a terrible experience https://t.co/kW11cQf4dr,,service_complaint,no,,  Sarcastic 'thanks for terrible experience'
1655188,@187297 @116462 @Delta So bad today on flight back I gave up,1655189,service_complaint,no,,  Vague
2905949,@DELTA upgraded me to a worse seat than the one I had,,checkin_seat_upgrade,no,, 
28527,I need assistance in getting on standby for later flight. Major delays in Paris and will miss connection in ATL. @Delta,,rebooking_connection,yes,"Major delays causing missed connection, needs proactive standby assistance", 
1740030,@Delta need help with seat assignment,,checkin_seat_upgrade,no,,  Vague/short
1192347,@delta who is going to pay to rebook us? Not our fault,,refund_compensation,no,, 
2894094,@delta - hey I need some help with a voucher I received. Can you DM me?,,refund_compensation,no,, 
1877942,@Delta I have 2 skymiles account due to Amex credit card. Can you please merge accounts ?,,loyalty_miles_status,no,, 
2522787,"Hey @824 @Delta I'd love to buy more plane tickets, but, your site appears quite broken. https://t.co/VyM9EFSaKS",,general_policy_info,no,,  Site bug report
2709303,I had one of these worst flight experiences on @Delta . There needs to be a stronger sense of communication between customer service and their airport employees,,service_complaint,no,, 
1289129,Please tell me thereâ€™s a second lounge for @delta Diamond members. Cause this is just embarrassing. #cheesenocrackers,,service_complaint,no,,  Sarcastic complaint about lounge
1179762,@Delta Trying to connect.  Just landed ATL. 5 minutes to catch plan.,1179761,rebooking_connection,yes,"Extremely time-critical connection (5 minutes), needs immediate real-time assistance", 
494337,@Delta big thanks to the gate agents at GSP who dealt with a lot of frustrated and rude passengers after our diverted flight from AVL today and arranged alternative transport to our final destination quickly. Great example of amazing Delta service. #HappyMedallion,,praise_or_noise,no,, 
1784846,@Delta Horrible day,1771133,service_complaint,no,,"  No specifics, context-free"
551361,"@Delta in Canun and you cancelled my girlfriends flight for no reason thanks for nothing!!! Rude staff, Horrible person ignoring me, unhelpful now I have to stay overnight in Atlanta terrible service. I take several flights a year Delta are now bottom of my list.",,service_complaint,yes,"Flight cancelled resulting in unplanned overnight stay, rude/unhelpful staff compounding", 
104242,I bet @JetBlue would have treated me the best but instead I am stuck with a $250 travel voucher from @Delta for missing my grandmotherâ€™s funeral after an electrical delay. #jetblue #delta #grief,,refund_compensation,yes,Missed a family funeral due to delay - high emotional stakes despite voucher offered, 
602864,"@Delta The condition of aircraft on Flight #483 today from JFK to SFO is unacceptable. Between the putrid smell, lack of in seat power, and ancient IFE and overall condition. This is not acceptable for a 6.5 hour flight.",,service_complaint,no,, 
2818218,@Delta have traversed lga bag claim twice to announced carousels that were wrong... correct one still not announced. ðŸ˜‘,,baggage_lost_item,no,, 
986510,@Delta How are you SHOWING that loyalty matters when you charge us even though your employees were unbelievably rude? Words donâ€™t matter.,986502,service_complaint,no,, 
2635782,@Delta Can you help me? I have a delay thatâ€™s resulting in me missing my layover. Can you help me find an alternative?,,rebooking_connection,yes,Active missed-connection situation requiring rebooking assistance, 
1786717,@Delta why do you schedule the worst layover times? Lucky I'm a fast runner,,service_complaint,no,,  Sarcastic
102272,"@delta gate agent was zero help.  Asked to change my flight to the gate she is working and she handed me a card and said, ""call the number on the card.""  Has yet to smile or say sorry I cant help.  Only words spoken were the six above.  Where has customer service gone?",,service_complaint,no,, 
2720861,"@Delta hi, can I check in an additional bag at my connection airport (MSP)? I have a 13hr layover and plan on leaving airport before next flight. Flying HNL-MSP-AMS.",,general_policy_info,no,, 
909836,"@delta Any update on when Skymiles Marketplace will be up and running again on https://t.co/wQdkVVXJyB? Been ""temporarily down"" for awhile",,loyalty_miles_status,no,, 
1627415,"@Delta Guadalajara airport is closed going to miss my flight, I need to reschedule my flight",1627407,rebooking_connection,yes,"Airport closure causing missed flight, needs urgent rebooking", 
2816761,@Delta @785215 Your airline damaged her expensive luggage and youâ€™re thanking her for flying with you?? ðŸ¤”,2816760,baggage_lost_item,no,,"  Sarcastic anger, standard claim"
772352,Spent 3 hrs on the phone to get thru to @Delta while Im in Ireland. I asked a question they couldnt respond to so they hung up on me classic,,service_complaint,yes,3-hour international call ending in being hung up on unresolved, 
1188137,@Delta thank you for all the help! Brent from digital simply amazing. I know I complain a lot but people like Brent- why I love Delta.,,praise_or_noise,no,, 
2079221,Very disappointed @delta right now! Flight DL2437 was supposed to leave at 7:20am... ðŸ˜• Still here. #DTW #Issues https://t.co/0SEUxuYZRB,,flight_delay_status,no,, 
611555,@Delta Thank You!ðŸ˜Šâ¤ï¸,611556,praise_or_noise,no,, 
303564,@delta In need of help at the moment. I never received a receipt for my checked luggage last month. How can I go about getting copies?,,general_policy_info,no,, 
361485,@Delta I am having trouble checking in to my flight for tonight. When I try to check in it says I need to check in through aeromexico.,,checkin_seat_upgrade,no,, 
1926729,@824 presently talking to the worst customer rep you employ. I hope this experience is an outlier not a trend.,,service_complaint,no,, 
2977648,@DELTA Fly 100+ legs/yr on SW and AA mostly. Delta app tells me I can't check in because I'm on standby? Can't win me over with that!,,checkin_seat_upgrade,no,, 
328838,@Delta I flew from DTW to LIS on July 31 and returned on Aug 4. My Skymiles account does not show this trip.,,loyalty_miles_status,no,, 
